target	dependent	file	relation	confidence	in_candidate_diff
parseContinuationSignal	stripContinuationSignal	src/auto-reply/continuation/signal.ts	CALLS	0.85	yes
parseContinuationSignal	signal-parser.test.ts	src/auto-reply/continuation/signal-parser.test.ts	CALLS	0.85	yes
parseContinuationSignal	rfc-contract.scenario.test.ts	src/auto-reply/continuation/rfc-contract.scenario.test.ts	CALLS	0.85	yes
createContinueDelegateTool	createOpenClawContinuationTools	src/agents/openclaw-tools.continuation.ts	CALLS	0.85	yes
createContinueDelegateTool	executeContinueDelegate	src/agents/tools/continue-delegate-tool.crosssession-gate.test.ts	CALLS	0.85	yes
createContinueDelegateTool	trace-context-propagation.integration.test.ts	src/auto-reply/continuation/trace-context-propagation.integration.test.ts	CALLS	0.85	yes
createContinueDelegateTool	agent-runner.continuation-delegate-fire-span.test.ts	src/auto-reply/reply/agent-runner.continuation-delegate-fire-span.test.ts	CALLS	0.85	yes
createContinueDelegateTool	continue-delegate-tool.test.ts	src/agents/tools/continue-delegate-tool.test.ts	CALLS	0.85	yes
createContinueDelegateTool	continue-delegate-attachment-validation.test.ts	src/agents/tools/continue-delegate-attachment-validation.test.ts	CALLS	0.85	yes
createContinueWorkTool	createOpenClawContinuationTools	src/agents/openclaw-tools.continuation.ts	CALLS	0.85	yes
createContinueWorkTool	makeTool	src/agents/tools/continue-work-tool.boundary.test.ts	CALLS	0.85	yes
createContinueWorkTool	makeTool	src/agents/tools/continue-work-tool.test.ts	CALLS	0.85	yes
runEmbeddedFallbackCandidate	runCandidate	src/auto-reply/reply/agent-runner-embedded-candidate.continuation.test.ts	CALLS	0.85	yes
runEmbeddedFallbackCandidate	runCandidate	src/auto-reply/reply/agent-runner-fallback-candidate.ts	CALLS	0.85	yes
requestHeartbeatRaw	requestHeartbeat	src/plugin-sdk/heartbeat-runtime.ts	CALLS	0.85	yes
requestHeartbeatRaw	maybeNotifyOnExit	src/agents/bash-tools.exec-runtime.ts	CALLS	0.85	yes
requestHeartbeatRaw	drainPendingHeartbeatWakes	src/agents/bash-tools.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	requestHeartbeat	src/plugins/runtime/runtime-system.ts	CALLS	0.85	yes
requestHeartbeatRaw	requestHeartbeatNow	src/plugins/runtime/runtime-system.ts	CALLS	0.85	yes
requestHeartbeatRaw	enqueueSessionStateNotice	src/sessions/session-state-notices.ts	CALLS	0.85	yes
requestHeartbeatRaw	queueTaskSystemEvent	src/tasks/task-registry-delivery.ts	CALLS	0.85	yes
requestHeartbeatRaw	queueBlockedTaskFollowup	src/tasks/task-registry-delivery.ts	CALLS	0.85	yes
requestHeartbeatRaw	flushHeartbeatWakeRequests	src/tasks/task-registry.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	wake	src/agents/subagents/spawn/acp-spawn-parent-stream.ts	CALLS	0.85	yes
requestHeartbeatRaw	system-event	src/gateway/server-methods/system.ts	CALLS	0.85	yes
requestHeartbeatRaw	enqueueRestartSentinelWake	src/gateway/server-restart-sentinel-delivery.ts	CALLS	0.85	yes
requestHeartbeatRaw	pokeScheduledHeartbeat	test/e2e/qa-lab/runtime/heartbeat-active-hours-runtime.ts	CALLS	0.85	yes
requestHeartbeatRaw	dispatchWakeHook	src/gateway/server/hooks.ts	CALLS	0.85	yes
requestHeartbeatRaw	dispatchAgentHook	src/gateway/server/hooks.ts	CALLS	0.85	yes
requestHeartbeatRaw	reportHookFailure	src/gateway/server/hooks.ts	CALLS	0.85	yes
requestHeartbeatRaw	pokeIntervalWake	src/infra/heartbeat-runner.active-hours-schedule.e2e.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	expectWakeDispatch	src/infra/heartbeat-runner.scheduler.test-support.ts	CALLS	0.85	yes
requestHeartbeatRaw	pokeIntervalWake	src/infra/heartbeat-runner.scheduler.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	expectWakeDispatch	src/infra/heartbeat-runner.scheduler.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	requestExecWake	src/infra/heartbeat-runner.stale-exec.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	expectWakeDispatch	src/infra/heartbeat-runner.targeted-unscheduled-wake.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	requestTarget	src/infra/heartbeat-wake-concurrency.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	expectRetryAfterDefaultDelay	src/infra/heartbeat-wake.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	requestPeriod	src/infra/heartbeat-wake.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	requestTask	src/infra/heartbeat-wake.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	requestHeartbeatNow	src/infra/heartbeat-wake.ts	CALLS	0.85	yes
requestHeartbeatRaw	heartbeat-wake.transcript-context.test.ts	src/infra/heartbeat-wake.transcript-context.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	heartbeat-wake.test.ts	src/infra/heartbeat-wake.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	heartbeat-wake.preemption.test.ts	src/infra/heartbeat-wake.preemption.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	heartbeat-wake.lifecycle.test.ts	src/infra/heartbeat-wake.lifecycle.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	heartbeat-wake-concurrency.test.ts	src/infra/heartbeat-wake-concurrency.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	heartbeat-runner.targeted-unscheduled-wake.test.ts	src/infra/heartbeat-runner.targeted-unscheduled-wake.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	heartbeat-runner.stale-exec.test.ts	src/infra/heartbeat-runner.stale-exec.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	heartbeat-runner.scheduler.test.ts	src/infra/heartbeat-runner.scheduler.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	heartbeat-runner.scheduler.targeted-wake.test.ts	src/infra/heartbeat-runner.scheduler.targeted-wake.test.ts	CALLS	0.85	yes
requestHeartbeatRaw	heartbeat-runner.scheduler-owner-resolution.test.ts	src/infra/heartbeat-runner.scheduler-owner-resolution.test.ts	CALLS	0.85	yes
createRequestCompactionTool	createOpenClawContinuationTools	src/agents/openclaw-tools.continuation.ts	CALLS	0.85	yes
createRequestCompactionTool	executeRequestCompactionTool	src/agents/tools/request-compaction-tool.callsite-threading.test.ts	CALLS	0.85	yes
createRequestCompactionTool	makeTool	src/agents/tools/request-compaction-tool.test.ts	CALLS	0.85	yes
createRequestCompactionTool	executeTool	src/agents/tools/request-compaction-tool.volitional-threading.test.ts	CALLS	0.85	yes
createRequestCompactionTool	request-compaction-tool.classifier-emission.test.ts	src/agents/tools/request-compaction-tool.classifier-emission.test.ts	CALLS	0.85	yes
schedule	scheduleCancellation	src/agents/subagents/registry/subagent-registry-pending-lifecycle.ts	CALLS	0.85	no
schedule	scheduleError	src/agents/subagents/registry/subagent-registry-pending-lifecycle.ts	CALLS	0.85	no
