2026-08-23T08:51:56Z dispatcher-watchdog=start lane=oc-85651-continuation-cure-20260823 cadence=600s request=1200s evidence=1800s intervene=2700s
2026-08-23T08:51:57Z inspect phase=phase-1 candidate=09b553e5fc7c2b3a26954046c1d9f52c55af4b40 command=fetch-rebaseline-savegame remote=none stalled=0s
2026-08-23T09:01:57Z inspect phase=phase-1-savegame candidate=09b553e5fc7c2b3a26954046c1d9f52c55af4b40 command=auth-receipt-before-savegame remote=none stalled=0s
2026-08-23T09:11:58Z inspect phase=phase-3 candidate=3c97e98ccb2785ef49acc2bc86f7acffc02f4a44 command=freeze-upstream-and-inventory remote=3c97e98ccb2785ef49acc2bc86f7acffc02f4a44 stalled=0s
2026-08-23T09:21:58Z inspect phase=phase-3 candidate=41be231735237cbc2d21560860e8cc6ce07638a9 command=backmerge-frozen-upstream remote=41be231735237cbc2d21560860e8cc6ce07638a9 stalled=0s
2026-08-23T09:31:59Z inspect phase=phase-3 candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=gate2-shared-path-audit remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T09:41:59Z inspect phase=gate-2.5 candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=focused-semantic-tests-single-worker remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T09:51:59Z inspect phase=gate-2.5 candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=focused-semantic-tests-single-worker remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T10:02:00Z inspect phase=gate-3-provisional candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=targeted-check-changed remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T10:12:00Z inspect phase=gate-3-provisional candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=targeted-check-changed remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T10:22:01Z inspect phase=phase-3-repair candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=typecheck-and-owner-tests remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T10:32:01Z inspect phase=phase-3-repair candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=typecheck-and-owner-tests remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
