2026-08-23T08:51:56Z watchdog=start lane=oc-85651-continuation-cure-20260823 cadence=60s heartbeat=300s stall=900s blocker=1800s
2026-08-23T08:51:57Z heartbeat phase=phase-1 candidate=09b553e5fc7c2b3a26954046c1d9f52c55af4b40 command=fetch-rebaseline-savegame local=09b553e5fc7c2b3a26954046c1d9f52c55af4b40 remote=none stalled=0s
2026-08-23T08:57:00Z heartbeat phase=phase-1 candidate=09b553e5fc7c2b3a26954046c1d9f52c55af4b40 command=fetch-rebaseline-savegame local=09b553e5fc7c2b3a26954046c1d9f52c55af4b40 remote=none stalled=182s
2026-08-23T09:02:03Z heartbeat phase=phase-1-savegame candidate=09b553e5fc7c2b3a26954046c1d9f52c55af4b40 command=auth-receipt-before-savegame local=09b553e5fc7c2b3a26954046c1d9f52c55af4b40 remote=none stalled=0s
2026-08-23T09:07:06Z heartbeat phase=phase-3 candidate=3c97e98ccb2785ef49acc2bc86f7acffc02f4a44 command=freeze-upstream-and-inventory local=3c97e98ccb2785ef49acc2bc86f7acffc02f4a44 remote=3c97e98ccb2785ef49acc2bc86f7acffc02f4a44 stalled=0s
2026-08-23T09:12:08Z heartbeat phase=phase-3 candidate=3c97e98ccb2785ef49acc2bc86f7acffc02f4a44 command=freeze-upstream-and-inventory local=3c97e98ccb2785ef49acc2bc86f7acffc02f4a44 remote=3c97e98ccb2785ef49acc2bc86f7acffc02f4a44 stalled=303s
2026-08-23T09:17:11Z heartbeat phase=phase-3 candidate=41be231735237cbc2d21560860e8cc6ce07638a9 command=backmerge-frozen-upstream local=41be231735237cbc2d21560860e8cc6ce07638a9 remote=41be231735237cbc2d21560860e8cc6ce07638a9 stalled=0s
2026-08-23T09:22:14Z heartbeat phase=phase-3 candidate=41be231735237cbc2d21560860e8cc6ce07638a9 command=backmerge-frozen-upstream local=41be231735237cbc2d21560860e8cc6ce07638a9 remote=41be231735237cbc2d21560860e8cc6ce07638a9 stalled=242s
2026-08-23T09:27:16Z heartbeat phase=phase-3 candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=gate2-shared-path-audit local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=61s
2026-08-23T09:32:19Z heartbeat phase=phase-3 candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=gate2-shared-path-audit local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=363s
2026-08-23T09:37:22Z heartbeat phase=gate-2 candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=broader-feature-byte-walk-929 local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T09:42:26Z heartbeat phase=gate-2.5 candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=focused-semantic-tests-single-worker local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=60s
2026-08-23T09:47:29Z heartbeat phase=gate-2.5 candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=focused-semantic-tests-single-worker local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=121s
2026-08-23T09:52:31Z heartbeat phase=gate-2.5 candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=focused-semantic-tests-single-worker local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=61s
2026-08-23T09:57:34Z heartbeat phase=gate-3-provisional candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=targeted-check-changed local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T10:02:37Z heartbeat phase=gate-3-provisional candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=targeted-check-changed local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=120s
2026-08-23T10:07:40Z heartbeat phase=gate-3-provisional candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=targeted-check-changed local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=181s
2026-08-23T10:12:42Z heartbeat phase=gate-3-provisional candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=targeted-check-changed local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T10:17:45Z heartbeat phase=phase-3-repair candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=typecheck-and-owner-tests local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T10:22:47Z heartbeat phase=phase-3-repair candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=typecheck-and-owner-tests local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=181s
2026-08-23T10:27:50Z heartbeat phase=phase-3-repair candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=typecheck-and-owner-tests local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=61s
2026-08-23T10:32:53Z heartbeat phase=phase-3-repair candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=typecheck-and-owner-tests local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=0s
2026-08-23T10:37:55Z heartbeat phase=phase-3-repair candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=typecheck-and-owner-tests local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=303s
2026-08-23T10:42:58Z heartbeat phase=phase-3-repair candidate=de1fce0188450e7aaa3488c40f4c300cc60f54da command=typecheck-and-owner-tests local=de1fce0188450e7aaa3488c40f4c300cc60f54da remote=de1fce0188450e7aaa3488c40f4c300cc60f54da stalled=121s
2026-08-23T10:48:01Z heartbeat phase=gate-2 candidate=3330ac1c5bfc4a6ada3491251ca0568c11f5ac2c command=restart-gates-after-repair local=3330ac1c5bfc4a6ada3491251ca0568c11f5ac2c remote=3330ac1c5bfc4a6ada3491251ca0568c11f5ac2c stalled=0s
2026-08-23T10:53:03Z heartbeat phase=gate-2 candidate=3330ac1c5bfc4a6ada3491251ca0568c11f5ac2c command=restart-gates-after-repair local=3330ac1c5bfc4a6ada3491251ca0568c11f5ac2c remote=3330ac1c5bfc4a6ada3491251ca0568c11f5ac2c stalled=242s
2026-08-23T10:58:06Z heartbeat phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting local=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=0s
2026-08-23T11:03:09Z heartbeat phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting local=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=241s
2026-08-23T11:08:11Z heartbeat phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting local=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=0s
2026-08-23T11:13:14Z heartbeat phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting local=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=60s
2026-08-23T11:18:17Z heartbeat phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting local=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=363s
2026-08-23T11:23:19Z heartbeat phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting local=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=121s
2026-08-23T11:28:22Z heartbeat phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting local=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=0s
2026-08-23T11:33:27Z heartbeat phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting local=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=303s
2026-08-23T11:38:29Z heartbeat phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting local=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=0s
2026-08-23T11:43:32Z heartbeat phase=gate-2 candidate=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 command=exact-final-gates-restarting local=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 remote=b79eca0f0c729e8aac57d9c6e95ac3a7f7ab7986 stalled=302s
2026-08-23T11:48:34Z heartbeat phase=gate-2 candidate=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 command=third-final-gates-restarting local=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 remote=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 stalled=60s
2026-08-23T11:53:37Z heartbeat phase=gate-2 candidate=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 command=third-final-gates-restarting local=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 remote=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 stalled=362s
2026-08-23T11:58:39Z heartbeat phase=gate-2 candidate=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 command=third-final-gates-restarting local=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 remote=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 stalled=121s
2026-08-23T12:03:42Z heartbeat phase=gate-2 candidate=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 command=third-final-gates-restarting local=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 remote=9c3a225f86d0ec21d4d10b1b69cd273298e128e3 stalled=0s
2026-08-23T12:08:45Z heartbeat phase=gate-2 candidate=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 command=baseline-shrink-rerun-exact-gates local=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 remote=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 stalled=120s
2026-08-23T12:13:47Z heartbeat phase=gate-2 candidate=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 command=baseline-shrink-rerun-exact-gates local=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 remote=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 stalled=423s
2026-08-23T12:18:50Z heartbeat phase=gate-2 candidate=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 command=baseline-shrink-rerun-exact-gates local=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 remote=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 stalled=241s
2026-08-23T12:23:53Z heartbeat phase=gate-2 candidate=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 command=baseline-shrink-rerun-exact-gates local=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 remote=1f15ce92f08f9d93a72a7623b9e8f5b436ef3076 stalled=60s
