class	dropped_lines	file	detail
GENUINE	0	extensions/feishu/src/monitor.message-handler.ingress.test.ts	-
GENUINE	0	extensions/mattermost/src/mattermost/monitor.inbound-system-event.test.ts	-
MIXED-CLOBBER	10	extensions/msteams/src/monitor-handler/message-handler.ingress-lifecycle.test.ts	?
MIXED-CLOBBER	1	src/channels/message/ingress-drain-lifecycle.test.ts	?
MIXED-CLOBBER	1	src/channels/message/ingress-drain-lifecycle.ts	?
SAFE-NEW	0	src/channels/message/ingress-drain.abandonment-retry-budget.test.ts	-
GENUINE	0	src/channels/message/ingress-drain.cancellation.test.ts	-
MIXED-CLOBBER	7	src/channels/message/ingress-drain.test.ts	?
MIXED-CLOBBER	6	src/channels/message/ingress-drain.ts	?
GENUINE	0	src/plugin-sdk/channel-ingress-runtime.test.ts	-
MIXED-CLOBBER	1	src/plugin-sdk/channel-ingress-runtime.ts	?
