id,file,kind,label,lane,layer,localization,name,owner,post_fix_result,pre_fix_result,production_loc,public_safe,reapply_result,ref,revert_result,role,runtime,sha,source_system,status,timestamp
commit:runtime-46f4d211,,commit,commit:runtime-46f4d211,,commit,,,,,,,,,,,deployed pre-fix runtime,,46f4d2115700d574501bb3c4763abf6b2ba977fe,,,2026-08-20
commit:introducing-ebd44c4d,,commit,commit:introducing-ebd44c4d,,commit,git log -S canExpireDiscordStaleAmbientBacklog,,,,,,,,,,introducing commit for canExpireDiscordStaleAmbientBacklog (textual archaeology),,ebd44c4d30a3256fbd314de46ef577fcd0d6c484,,,2026-08-15T00:38:42-07:00
commit:fossil-68023dba,,commit,commit:fossil-68023dba,,commit,,,,,,,,,,,"fixed-semantics fossils, RED on deployed predicate",,68023dba9d62566de093c958137a33fb8492c77a,,,
commit:intervention-7871ecfe,,commit,commit:intervention-7871ecfe,,commit,,,,,,,,,,,minimal D-policy-direct-open intervention,,7871ecfeacfb9d00fac983439b39448a5f11f791,,,
commit:origin-main,,commit,commit:origin-main,,commit,,,,,,,,,,,fork origin/main context only,,6a637469a09b4e20637fb2056ba56bc9e154301e,,,
commit:pr1237-head,,commit,commit:pr1237-head,,commit,,,,,,,,,,,karmaterminal/openclaw#1237 head; still mention-gated,,85e5252e17a693e843bcc7bebc76ba09c3911d85,,,
bug:D-policy-direct-open,,bug,bug:D-policy-direct-open,,defect,,,extensions/discord/src/monitor/ingress.ts,,,,,,,,,,,,intervened-on-this-branch,
bug:D-abandonment-budget,,bug,bug:D-abandonment-budget,,defect,,,src/channels/message/ingress-drain.ts,,,,,,,,,,,,separate; not a necessary dominator for this fossil,
bug:D-sqlite-pressure,,bug,bug:D-sqlite-pressure,,defect,,,agent/session sqlite,,,,,,,,,,,,separate; not a necessary dominator for this fossil,
bug:D-model-amplifier,,bug,bug:D-model-amplifier,,defect,,,provider retry/fallback,,,,,,,,,,,,separate; amplifies admitted stale turns only,
code:canExpireDiscordStaleAmbientBacklog,extensions/discord/src/monitor/ingress.ts,Function,canExpireDiscordStaleAmbientBacklog,,code,,canExpireDiscordStaleAmbientBacklog,,,,,,,,,,,,exact-source-reconstruction,,
code:resolveDiscordShouldRequireMention,extensions/discord/src/monitor/allow-list.ts,Function,resolveDiscordShouldRequireMention,,code,,resolveDiscordShouldRequireMention,,,,,,,,,,,,exact-source-reconstruction,,
code:resolvePendingDisposition,extensions/discord/src/monitor/ingress.ts,Function,resolvePendingDisposition,,code,,resolvePendingDisposition,,,,,,,,,,,,exact-source-reconstruction,,
code:createDiscordIngressMonitor,extensions/discord/src/monitor/ingress.ts,Function,createDiscordIngressMonitor,,code,,createDiscordIngressMonitor,,,,,,,,,,,,exact-source-reconstruction,,
code:queue-adoption,src/channels/message/ingress-drain.ts,Function,runClaimed/onAdopted,,code,,runClaimed/onAdopted,,,,,,,,,,,,exact-source-reconstruction,,
incident:elliott-sprites-2026-08-20,,incident,incident:elliott-sprites-2026-08-20,channel:1466192485440164011,incident,,,,,,,True,,,,,46f4d2115700d574501bb3c4763abf6b2ba977fe,,,,
fossil:direct-open-stale,extensions/discord/src/monitor/ingress.direct-open-stale.fossil.test.ts,fossil,fossil:direct-open-stale,,test,,,,GREEN,RED,,,GREEN,,RED,,,,,,
gov:issue-1246,,issue,gov:issue-1246,,governance,,,,,,,,,karmaterminal/openclaw#1246,,,,,,,
gov:pr-1237,,pr,gov:pr-1237,,governance,,,,,,,,,karmaterminal/openclaw#1237,,,,,,,
gov:upstream-121204,,pr,gov:upstream-121204,,governance,,,,,,,,,openclaw/openclaw#121204,,,,,,,
gov:upstream-97320,,issue,gov:upstream-97320,,governance,,,,,,,,,openclaw/openclaw#97320,,,,,,,
gov:upstream-97435,,issue,gov:upstream-97435,,governance,,,,,,,,,openclaw/openclaw#97435,,,,,,,
patch:decouple-stale-from-mention,,patch,patch:decouple-stale-from-mention,,intervention,,,,,,+12/-8,,,,,,,7871ecfeacfb9d00fac983439b39448a5f11f791,,,
Function:extensions/discord/src/monitor/ingress.ts:createDiscordIngressMonitor,extensions/discord/src/monitor/ingress.ts,Function,createDiscordIngressMonitor,,code,,createDiscordIngressMonitor,,,,,,,,,,,,gitnexus,,
Function:src/channels/message/ingress-monitor.ts:createChannelIngressMonitor,src/channels/message/ingress-monitor.ts,Function,createChannelIngressMonitor,,code,,createChannelIngressMonitor,,,,,,,,,,,,gitnexus,,
Function:src/channels/message/ingress-monitor.ts:getDrain,src/channels/message/ingress-monitor.ts,Function,getDrain,,code,,getDrain,,,,,,,,,,,,gitnexus,,
Function:src/channels/message/ingress-drain.ts:createChannelIngressDrain,src/channels/message/ingress-drain.ts,Function,createChannelIngressDrain,,code,,createChannelIngressDrain,,,,,,,,,,,,gitnexus,,
Function:src/channels/message/ingress-drain.ts:drainOnce,src/channels/message/ingress-drain.ts,Function,drainOnce,,code,,drainOnce,,,,,,,,,,,,gitnexus,,
Function:src/channels/message/ingress-drain-pending-disposition.ts:resolveIngressPendingDispositions,src/channels/message/ingress-drain-pending-disposition.ts,Function,resolveIngressPendingDispositions,,code,,resolveIngressPendingDispositions,,,,,,,,,,,,gitnexus,,
Function:src/channels/message/ingress-drain.ts:onAdopted,src/channels/message/ingress-drain.ts,Function,onAdopted,,code,,onAdopted,,,,,,,,,,,,gitnexus,,
Function:src/channels/message/ingress-drain.ts:completeClaimWithRetry,src/channels/message/ingress-drain.ts,Function,completeClaimWithRetry,,code,,completeClaimWithRetry,,,,,,,,,,,,gitnexus,,
