file	classification	size_lines	notes
CHANGELOG.md	mechanical	9504	root changelog release-entry conflict from first replayed commit; no code seam reached yet
extensions/acpx/package.json	mechanical	63	plugin package version conflict from first replayed commit
extensions/alibaba/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/amazon-bedrock-mantle/package.json	mechanical	24	plugin package version conflict from first replayed commit
extensions/amazon-bedrock/package.json	mechanical	24	plugin package version conflict from first replayed commit
extensions/anthropic-vertex/package.json	mechanical	24	plugin package version conflict from first replayed commit
extensions/anthropic/package.json	mechanical	22	plugin package version conflict from first replayed commit
extensions/arcee/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/azure-speech/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/bluebubbles/package.json	mechanical	81	plugin package version conflict from first replayed commit
extensions/bonjour/package.json	mechanical	21	plugin package version conflict from first replayed commit
extensions/brave/package.json	mechanical	44	plugin package version conflict from first replayed commit
extensions/browser/package.json	mechanical	28	plugin package version conflict from first replayed commit
extensions/byteplus/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/cerebras/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/chutes/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/cloudflare-ai-gateway/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/codex/package.json	mechanical	51	plugin package version conflict from first replayed commit
extensions/comfy/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/copilot-proxy/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/deepgram/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/deepinfra/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/deepseek/package.json	mechanical	19	plugin package version conflict from first replayed commit
extensions/diagnostics-otel/package.json	mechanical	58	plugin package version conflict from first replayed commit
extensions/diagnostics-prometheus/package.json	mechanical	45	plugin package version conflict from first replayed commit
extensions/diffs/package.json	mechanical	60	plugin package version conflict from first replayed commit
extensions/discord/package.json	mechanical	93	plugin package version conflict from first replayed commit
