artifact	merge_file_status
CHANGELOG.md.diff	stage-artifact
docs_.generated_config-baseline.sha256.diff	1
docs_.generated_plugin-sdk-api-baseline.sha256.diff	1
extensions_matrix_CHANGELOG.md.diff	stage-artifact
package.json.diff	stage-artifact
src_agents_openclaw-tools.ts.diff	2
src_agents_pi-embedded-runner_compact.ts.diff	0
src_agents_pi-embedded-runner_run_attempt.ts.diff	2
src_agents_pi-embedded-runner_run_params.ts.diff	0
src_agents_pi-embedded-runner_run.ts.diff	1
src_agents_pi-embedded-subscribe.ts.diff	0
src_agents_system-prompt.ts.diff	0
src_auto-reply_reply_agent-runner-execution.test.ts.diff	0
src_auto-reply_reply_agent-runner-execution.ts.diff	0
src_auto-reply_reply_agent-runner.ts.diff	3
src_auto-reply_reply_get-reply-run.ts.diff	0
src_auto-reply_types.ts.diff	0
src_logging_diagnostic.test.ts.diff	1
src_logging_diagnostic.ts.diff	4
