id,attempts,channelId,eventId,expectedResult,file,first,kind,label,last,layer,name,observedAttempts,observedRouteFailureRows,owner,pr,seat,seats,sha,source_system,status,timestamp,toolReportedCommit,traceId,url,workorderIndexNote
governance:read-only,,,,,,,constraint,Read-only fleet investigation,,governance,,,,,,,,,,,,,,,
governance:missing-report,,,,,,,evidence-gap,Original row-level report unavailable,,governance,,,,,,,,,,,,,,,
governance:stale-gitnexus,,,,,,,evidence-gap,GitNexus index is not exact 6b09,,governance,,,,,,,,,,,,a59a96549b7736613cb86dc846b28d0d82f03295,,,frozen near 530b
commit:deployed,,,,,,,composite,commit:deployed,,commit,,,,,,,,6b09b1dbe938ab6b5f56eaf4e58f1ed243f89955,,,2026-08-15T01:14:41-07:00,,,,
commit:absorbed-upstream,,,,,,,upstream-base,commit:absorbed-upstream,,commit,,,,,,,,530b33e4e37264c89ecd5abdd06279dd23d5c867,,,,,,,
commit:settled-finalizer,,,,,,,introducing-candidate,commit:settled-finalizer,,commit,,,,,openclaw/openclaw#110565,,,6eea20ce181ecfcb9ff4cf24f85ef54f8580a690,,,2026-07-22,,,,
commit:turn-adoption,,,,,,,introducing-candidate,commit:turn-adoption,,commit,,,,,openclaw/openclaw#108924,,,16c14e5bbfc9e3a82203272ec7bb82b586df0a84,,,2026-07-17,,,,
commit:session-fence,,,,,,,introducing-candidate,commit:session-fence,,commit,,,,,openclaw/openclaw#98510,,,6df0fb818d67032c71eb885ac36febd540fbd10f,,,2026-07-04,,,,
commit:route-materialization,,,,,,,introducing-candidate,commit:route-materialization,,commit,,,,,openclaw/openclaw#104685,,,1b1cebfe4218191db3644af9511c48eed070304f,,,2026-07-11,,,,
commit:ingress-recovery,,,,,,,prior-fix,commit:ingress-recovery,,commit,,,,,openclaw/openclaw#122384,,,69983f80113aab3e88adfe60f98d2e1f17fbe2ca,,,2026-08-11,,,,
commit:shared-wal,,,,,,,current-upstream-fix,commit:shared-wal,,commit,,,,,openclaw/openclaw#123777,,,ed447135bd427508cdc42aec9bc2549c6860c326,,,2026-08-15,,,,
