file	layer	vs_PRhead_fc337f05d6	vs_altpath_5d127388df	vs_pathd_bd328fadd6
.agents/skills/crabbox/SKILL.md	L6-config	BASELINE	DIVERGED	IDENTICAL
.agents/skills/release-openclaw-maintainer/SKILL.md	L6-config	BASELINE	DIVERGED	DIVERGED
.crabbox.yaml	L6-config	BASELINE	DIVERGED	IDENTICAL
.gitignore	L6-config	BASELINE	IDENTICAL	IDENTICAL
.oxlintrc.json	L6-config	BASELINE	DIVERGED	DIVERGED
AGENTS.md	L6-config	BASELINE	DIVERGED	DIVERGED
apps/macos/Sources/OpenClaw/ExecApprovals.swift	L3-observability	BASELINE	DIVERGED	IDENTICAL
apps/macos/Sources/OpenClaw/ExecApprovalsGatewayPrompter.swift	L3-observability	BASELINE	DIVERGED	IDENTICAL
apps/macos/Sources/OpenClaw/NodeMode/MacNodeRuntime.swift	L3-observability	BASELINE	DIVERGED	IDENTICAL
apps/macos/Tests/OpenClawIPCTests/ExecApprovalPromptLayoutTests.swift	L3-observability	BASELINE	DIVERGED	IDENTICAL
apps/shared/OpenClawKit/Sources/OpenClawKit/Resources/tool-display.json	L6-config	BASELINE	DIVERGED	DIVERGED
apps/shared/OpenClawKit/Sources/OpenClawProtocol/GatewayModels.swift	L3-observability	BASELINE	DIVERGED	DIVERGED
docs/automation/cron-jobs.md	L5-docs	BASELINE	DIVERGED	DIVERGED
docs/channels/groups.md	L5-docs	BASELINE	DIVERGED	IDENTICAL
docs/design/continue-work-signal-v2.md	L5-docs	BASELINE	IDENTICAL	IDENTICAL
docs/gateway/config-channels.md	L5-docs	BASELINE	DIVERGED	IDENTICAL
docs/gateway/configuration-reference.md	L5-docs	BASELINE	IDENTICAL	IDENTICAL
docs/install/raspberry-pi.md	L5-docs	BASELINE	DIVERGED	IDENTICAL
docs/plugins/codex-harness-reference.md	L5-docs	BASELINE	DIVERGED	DIVERGED
docs/plugins/codex-harness-runtime.md	L5-docs	BASELINE	IDENTICAL	IDENTICAL
docs/plugins/sdk-testing.md	L5-docs	BASELINE	DIVERGED	IDENTICAL
docs/vps.md	L5-docs	BASELINE	DIVERGED	IDENTICAL
extensions/browser/src/browser/routes/agent.existing-session.test.ts	L4-tests	BASELINE	DIVERGED	IDENTICAL
extensions/browser/src/browser/routes/existing-session.test-support.ts	L2-plumbing	BASELINE	DIVERGED	DIVERGED
extensions/codex/src/app-server/attempt-startup.test.ts	L4-tests	BASELINE	IDENTICAL	IDENTICAL
