file	in_PRhead	vs_altpath_5d12	vs_pathd_bd32	vs_upstream_4291	new_since_anc	evidence_cmd
docs/design/continue-work-signal-v2.md	PRESENT	IDENT	IDENT	SAFE-NEW	NEW	git rev-parse --verify <ref>:docs/design/continue-work-signal-v2.md
extensions/diagnostics-otel/src/continuation-tracer-adapter.test.ts	PRESENT	IDENT	IDENT	SAFE-NEW	NEW	git rev-parse --verify <ref>:extensions/diagnostics-otel/src/continuation-tracer-adapter.test.ts
extensions/diagnostics-otel/src/continuation-tracer-adapter.ts	PRESENT	IDENT	IDENT	SAFE-NEW	NEW	git rev-parse --verify <ref>:extensions/diagnostics-otel/src/continuation-tracer-adapter.ts
src/agents/agent-hooks/compaction-safeguard.ts	PRESENT	DIFF	DIFF	DIVERGENT	MODIFIED-from-anc	git rev-parse --verify <ref>:src/agents/agent-hooks/compaction-safeguard.ts
src/agents/compaction-attribution.test.ts	PRESENT	IDENT	IDENT	SAFE-NEW	NEW	git rev-parse --verify <ref>:src/agents/compaction-attribution.test.ts
src/agents/compaction-attribution.ts	PRESENT	IDENT	IDENT	SAFE-NEW	NEW	git rev-parse --verify <ref>:src/agents/compaction-attribution.ts
src/agents/embedded-agent-runner/compact.hooks.harness.ts	PRESENT	DIFF	DIFF	DIVERGENT	MODIFIED-from-anc	git rev-parse --verify <ref>:src/agents/embedded-agent-runner/compact.hooks.harness.ts
src/agents/embedded-agent-runner/compaction-runtime-context.test.ts	PRESENT	DIFF	DIFF	DIVERGENT	MODIFIED-from-anc	git rev-parse --verify <ref>:src/agents/embedded-agent-runner/compaction-runtime-context.test.ts
src/agents/embedded-agent-runner/compact.queued.ts	PRESENT	DIFF	DIFF	DIVERGENT	MODIFIED-from-anc	git rev-parse --verify <ref>:src/agents/embedded-agent-runner/compact.queued.ts
src/agents/embedded-agent-runner/compact-reasons.test.ts	PRESENT	IDENT	IDENT	DIVERGENT	MODIFIED-from-anc	git rev-parse --verify <ref>:src/agents/embedded-agent-runner/compact-reasons.test.ts
