id	observed_phase	shard	gate	kind	test_file	test	group	signature	disposition	disposition_repository	disposition_issue	disposition_url
deterministic-001	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/connect-cli.test.ts	cli  src/cli/connect-cli.test.ts > connect cli > rejects a socket target without removing it	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-002	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.install.test.ts	cli  src/cli/plugins-cli.install.test.ts > plugins cli install > passes the active profile extensions dir to marketplace installs	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-003	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.install.test.ts	cli  src/cli/plugins-cli.install.test.ts > plugins cli install > passes the active profile extensions dir to ClawHub installs	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-004	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.install.test.ts	cli  src/cli/plugins-cli.install.test.ts > plugins cli install > passes the active profile extensions dir to npm installs	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-005	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.install.test.ts	cli  src/cli/plugins-cli.install.test.ts > plugins cli install > passes the active profile extensions dir to local path installs	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-006	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > keeps doctor on a module-loading snapshot	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-007	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > keeps 'info' compatibility notices visible while reporting healthy=true ([])	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-008	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > keeps 'info' compatibility notices visible while reporting healthy=true ([ '--json' ])	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-009	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > keeps 'warn' compatibility notices visible while reporting healthy=false ([])	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-010	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > keeps 'warn' compatibility notices visible while reporting healthy=false ([ '--json' ])	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-011	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > updates the doctor exit status as health changes in one process	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-012	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports validated disabled-plugin configuration warnings in 'human' output	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-013	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports validated disabled-plugin configuration warnings in 'JSON' output	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-014	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > deduplicates plugin validation warnings while ignoring other config owners	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-015	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > ignores unrelated validation warnings in 'human' doctor output	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-016	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > ignores unrelated validation warnings in 'JSON' doctor output	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-017	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > sanitizes plugin warning terminal controls in 'human' doctor output	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-018	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > sanitizes plugin warning terminal controls in 'JSON' doctor output	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-019	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > emits one sanitized JSON doctor report without human decoration	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-020	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports actionable discovery warnings when 'a required plugin is missing'	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-021	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports actionable discovery warnings when 'discovery cannot read an extensions d…'	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-022	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > keeps actionable discovery warnings alongside existing errors	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-023	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports stale plugin config in doctor output without claiming full plugin health	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-024	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports missing configured Codex runtime plugin in doctor output	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-025	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports missing configured ACPX runtime plugin in doctor output	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-026	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports blocked configured ACPX runtime with ACP-specific guidance	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-027	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports disabled configured ACPX runtime with ACP-specific guidance	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-028	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > does not report implicit OpenAI Codex preference as configured runtime	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-029	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > does not report configured Codex runtime when the plugin is enabled	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-030	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports configured Codex runtime when the plugin record is disabled	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-031	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports blocked configured Codex runtime without install advice	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-032	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports disabled configured Codex runtime entry without install advice	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-033	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > reports config-selected plugin source shadowing in doctor output	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-034	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > does not report healthy config-selected plugin source shadowing as doctor issue	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-035	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > refreshes the persisted plugin registry on request	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-036	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > fails a registry refresh when the persisted replacement stays stale	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-037	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.list.test.ts	cli  src/cli/plugins-cli.list.test.ts > plugins cli list > returns registry differences when a JSON refresh stays stale	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-038	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.policy.test.ts	cli  src/cli/plugins-cli.policy.test.ts > plugins cli policy mutations > refreshes the persisted plugin registry after enabling a plugin	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-039	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.policy.test.ts	cli  src/cli/plugins-cli.policy.test.ts > plugins cli policy mutations > rejects enabling an unconsented installed plugin without --accept-capabilities	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-040	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.policy.test.ts	cli  src/cli/plugins-cli.policy.test.ts > plugins cli policy mutations > 'binds explicit approval for a disable…'	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
deterministic-041	confirm-determinism-red	agentic-cli	test shard (agentic-cli)	test	src/cli/plugins-cli.policy.test.ts	cli  src/cli/plugins-cli.policy.test.ts > plugins cli policy mutations > 'records explicit capability consent f…'	ambient-newer-state-db	newer schema version 16; this build supports 15 / failed to acquire plugin lifecycle lease	EXISTING_ISSUE	karmaterminal/openclaw	1311	https://github.com/karmaterminal/openclaw/issues/1311
