table,corrupt,recovered,prior_manual_20260815T064304Z,prior_palliative_20260815T043719Z,prior_palliative_20260814T184649Z,recovered_minus_corrupt,recovered_minus_manual,corrupt_minus_manual
acp_replay_events,0,0,0,0,0,0,0,0
acp_replay_sessions,0,0,0,0,0,0,0,0
acp_sessions,0,0,0,0,0,0,0,0
agent_database_leases,129,129,119,119,99,0,10,10
agent_databases,10,10,10,10,10,0,0,0
agent_deletion_journal,0,0,0,0,0,0,0,0
agent_model_catalogs,1,1,1,1,1,0,0,0
android_notification_recent_packages,0,0,0,0,0,0,0,0
apns_registration_tombstones,0,0,0,0,0,0,0,0
apns_registrations,0,0,0,0,0,0,0,0
audit_events,12745,12745,11908,11908,11199,0,837,837
audit_identity_keys,0,0,0,0,0,0,0,0
auth_profile_state,1,1,0,0,0,0,1,1
auth_profile_stores,1,1,0,0,0,0,1,1
backup_runs,0,0,0,0,0,0,0,0
capture_blobs,0,0,0,0,0,0,0,0
capture_events,0,0,0,0,0,0,0,0
capture_sessions,0,0,0,0,0,0,0,0
channel_ingress_events,3751,3751,3612,3612,3471,0,139,139
channel_pairing_allow_entries,0,0,0,0,0,0,0,0
channel_pairing_requests,0,0,0,0,0,0,0,0
claw_cron_refs,0,0,0,0,0,0,0,0
claw_installs,0,0,0,0,0,0,0,0
claw_mcp_server_refs,0,0,0,0,0,0,0,0
claw_package_refs,0,0,0,0,0,0,0,0
claw_workspace_files,0,0,0,0,0,0,0,0
clawhub_promotion_claims,0,0,0,0,0,0,0,0
clawhub_promotions_feed_state,1,1,1,1,1,0,0,0
command_log_entries,0,0,0,0,0,0,0,0
commitments,,,,,0,,,
config_health_entries,3,3,3,3,3,0,0,0
config_machine_state,2,2,1,1,1,0,1,1
cron_job_scratch,1,1,1,1,1,0,0,0
cron_jobs,2,2,2,2,2,0,0,0
cron_run_receipts,25,25,0,0,,0,25,25
cron_store_epochs,0,0,0,0,,0,0,0
current_conversation_bindings,0,0,0,0,0,0,0,0
delegate_artifact_audit,0,0,0,0,0,0,0,0
delegate_artifact_bindings,0,0,0,0,0,0,0,0
delegate_artifact_claims,0,0,0,0,0,0,0,0
delegate_artifact_policies,0,0,0,0,0,0,0,0
delegate_artifact_recipient_outcomes,0,0,0,0,0,0,0,0
delivery_queue_entries,161,161,157,157,196,0,4,4
device_auth_tokens,1,1,1,1,1,0,0,0
device_bootstrap_tokens,0,0,0,0,0,0,0,0
device_identities,1,1,1,1,1,0,0,0
device_pair_setup_completions,0,0,0,0,,0,0,0
device_pairing_join_codes,0,0,0,0,,0,0,0
device_pairing_paired,85,85,85,85,85,0,0,0
device_pairing_pending,0,0,0,0,0,0,0,0
diagnostic_events,1515,1515,1514,1514,1514,0,1,1
diagnostic_stability_bundles,0,0,0,0,0,0,0,0
exec_approvals_config,1,1,1,1,1,0,0,0
fleet_cells,0,0,0,0,0,0,0,0
flow_runs,1040,1040,997,997,995,0,43,43
gateway_boot_lifecycle,11,11,10,10,7,0,1,1
gateway_origin_device_tokens,0,0,0,0,0,0,0,0
gateway_restart_handoff,1,1,1,1,0,0,0,0
gateway_restart_intent,0,0,0,0,0,0,0,0
gateway_restart_sentinel,0,0,0,0,0,0,0,0
installed_plugin_index,1,1,1,1,1,0,0,0
lost_and_found,,204,,,,,,
macos_port_guardian_records,0,0,0,0,0,0,0,0
managed_outgoing_image_records,0,0,0,0,0,0,0,0
mcp_oauth_stores,1,1,1,1,1,0,0,0
media_blobs,0,0,0,0,0,0,0,0
meeting_transcript_sessions,0,0,0,0,0,0,0,0
meeting_transcript_summaries,0,0,0,0,0,0,0,0
meeting_transcript_utterances,0,0,0,0,0,0,0,0
migration_runs,15,15,14,14,14,0,1,1
migration_sources,15,15,13,13,13,0,2,2
model_capability_cache,0,0,0,0,0,0,0,0
model_catalog_remote,1,1,1,1,1,0,0,0
native_hook_relay_bridges,0,0,0,0,0,0,0,0
node_host_config,0,0,0,0,0,0,0,0
official_external_plugin_catalog_snapshots,1,1,1,1,1,0,0,0
onboarding_recommendations,0,0,0,0,0,0,0,0
operator_approvals,0,0,0,0,0,0,0,0
outbound_media_provenance,0,0,0,0,0,0,0,0
plugin_binding_approvals,0,0,0,0,0,0,0,0
plugin_blob_entries,0,0,0,0,0,0,0,0
plugin_state_entries,6908,6908,6774,6774,6773,0,134,134
projects,0,0,0,0,0,0,0,0
sandbox_registry_entries,2,2,2,2,2,0,0,0
schema_meta,3,3,3,3,3,0,0,0
secret_store_entries,0,0,0,0,0,0,0,0
session_groups,0,0,0,0,0,0,0,0
session_state_events,1056,1056,1007,1007,1004,0,49,49
session_state_heads,372,372,356,356,355,0,16,16
session_upstream_links,0,0,0,0,0,0,0,0
session_watch_cursors,383,383,367,367,366,0,16,16
sidebar_sections,0,0,0,0,0,0,0,0
skill_curator_state,1,1,1,1,1,0,0,0
skill_lifecycle,0,0,0,0,0,0,0,0
skill_upload_chunks,0,0,0,0,0,0,0,0
skill_uploads,0,0,0,0,0,0,0,0
skill_usage,3,3,3,3,3,0,0,0
skill_workshop_proposal_events,225,225,225,225,225,0,0,0
skill_workshop_proposal_origin_runs,75,75,75,75,75,0,0,0
skill_workshop_proposal_rollbacks,75,75,75,75,75,0,0,0
skill_workshop_proposals,75,75,75,75,75,0,0,0
state_leases,0,0,0,0,0,0,0,0
subagent_runs,212,212,193,193,192,0,19,19
task_delivery_state,409,409,426,426,424,0,-17,-17
task_runs,1605,1605,1597,1597,1574,0,8,8
tui_last_sessions,1,1,1,1,1,0,0,0
update_check_state,1,1,1,1,1,0,0,0
user_preferences,0,0,0,0,0,0,0,0
user_profile_emails,0,0,0,0,0,0,0,0
user_profile_identities,0,0,0,0,0,0,0,0
user_profiles,0,0,0,0,0,0,0,0
voicewake_routing_config,0,0,0,0,0,0,0,0
voicewake_routing_routes,0,0,0,0,0,0,0,0
voicewake_triggers,0,0,0,0,0,0,0,0
web_push_subscriptions,0,0,0,0,0,0,0,0
web_push_vapid_keys,0,0,0,0,0,0,0,0
worker_environment_credentials,0,0,0,0,0,0,0,0
worker_environment_ssh_fallback_ports,0,0,0,0,0,0,0,0
worker_environments,0,0,0,0,0,0,0,0
worker_inference_turns,0,0,0,0,0,0,0,0
worker_session_placements,39,39,0,0,0,0,39,39
worker_session_tool_operations,0,0,0,0,0,0,0,0
worker_transcript_commit_heads,0,0,0,0,0,0,0,0
worker_transcript_commits,0,0,0,0,0,0,0,0
worker_turn_tool_authorities,0,0,0,0,0,0,0,0
worker_workspace_pending_results,0,0,0,0,0,0,0,0
worker_workspace_reconciliations,0,0,0,0,0,0,0,0
workspace_attestations,6,6,6,6,6,0,0,0
workspace_generated_bootstrap_hashes,19,19,19,19,19,0,0,0
workspace_path_aliases,1,1,1,1,1,0,0,0
workspace_setup_state,1,1,1,1,1,0,0,0
worktree_provisioned_file_chunks,0,0,0,0,0,0,0,0
worktrees,0,0,0,0,0,0,0,0
