table,corrupt,recovered,cleaned,prior_repaired_20260815T090547Z,cleaned_minus_corrupt,cleaned_minus_prior
acp_replay_events,0,0,0,0,0,0
acp_replay_sessions,0,0,0,0,0,0
acp_sessions,0,0,0,0,0,0
agent_database_leases,136,136,136,119,0,17
agent_databases,17,17,17,17,0,0
agent_deletion_journal,0,0,0,0,0,0
agent_model_catalogs,2,2,2,2,0,0
android_notification_recent_packages,0,0,0,0,0,0
apns_registration_tombstones,0,0,0,0,0,0
apns_registrations,0,0,0,0,0,0
audit_events,76547,76547,76547,77190,0,-643
audit_identity_keys,0,0,0,0,0,0
auth_profile_state,0,0,0,0,0,0
auth_profile_stores,0,0,0,0,0,0
backup_runs,0,0,0,0,0,0
capture_blobs,0,0,0,0,0,0
capture_events,0,0,0,0,0,0
capture_sessions,0,0,0,0,0,0
channel_ingress_events,5177,5177,5177,5174,0,3
channel_pairing_allow_entries,0,0,0,0,0,0
channel_pairing_requests,1,1,1,1,0,0
claw_cron_refs,0,0,0,0,0,0
claw_installs,0,0,0,0,0,0
claw_mcp_server_refs,0,0,0,0,0,0
claw_package_refs,0,0,0,0,0,0
claw_workspace_files,0,0,0,0,0,0
clawhub_promotion_claims,0,0,0,0,0,0
clawhub_promotions_feed_state,1,1,1,1,0,0
command_log_entries,0,0,0,0,0,0
commitments,,,,0,,
config_health_entries,4,4,4,4,0,0
config_machine_state,1,1,1,1,0,0
cron_job_scratch,0,0,0,0,0,0
cron_jobs,3,3,3,3,0,0
cron_run_receipts,2,2,2,,0,
cron_store_epochs,0,0,0,,0,
current_conversation_bindings,0,0,0,0,0,0
delegate_artifact_audit,0,0,0,0,0,0
delegate_artifact_bindings,0,0,0,0,0,0
delegate_artifact_claims,0,0,0,0,0,0
delegate_artifact_policies,0,0,0,0,0,0
delegate_artifact_recipient_outcomes,0,0,0,0,0,0
delivery_queue_entries,106,106,106,115,0,-9
device_auth_tokens,1,1,1,1,0,0
device_bootstrap_tokens,0,0,0,0,0,0
device_identities,1,1,1,1,0,0
device_pairing_join_codes,0,0,0,,0,
